Time,SSID,BSSID,Vendor,RSSI,Score,Reason
13:06:43,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-40,1,
13:06:43,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-52,1,
13:06:43,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-65,1,
13:06:44,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-40,1,
13:06:44,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-49,1,
13:06:44,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-64,1,
13:06:46,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-62,1,
13:06:46,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-48,1,
13:06:46,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-63,1,
13:06:47,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-58,1,
13:06:47,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-51,1,
13:06:47,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-64,1,
13:06:49,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-61,1,
13:06:49,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-51,1,
13:06:49,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-67,1,
13:06:50,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-62,1,
13:06:50,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-49,1,
13:06:50,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-65,1,
13:06:52,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-60,1,
13:06:52,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-52,1,
13:06:52,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-64,1,
13:06:53,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-61,1,
13:06:53,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-48,1,
13:06:53,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-67,1,
13:06:55,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-62,1,
13:06:55,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-48,1,
13:06:55,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-66,1,
13:06:56,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-40,1,
13:06:56,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-52,5,Deauth Attack
13:06:56,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-67,1,
13:06:58,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-40,1,
13:06:58,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-49,5,Deauth Attack
13:06:58,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-64,1,
13:06:59,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-40,1,
13:06:59,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-50,5,Deauth Attack
13:06:59,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-66,1,
13:07:01,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-58,1,
13:07:01,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-52,5,Deauth Attack
13:07:01,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-65,1,
13:07:02,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-58,1,
13:07:02,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-50,5,Deauth Attack
13:07:02,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-67,1,
13:07:04,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-58,1,
13:07:04,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-51,5,Deauth Attack
13:07:04,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-67,1,
13:07:05,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-58,1,
13:07:05,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-49,5,Deauth Attack
13:07:05,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-63,1,
13:07:07,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-61,1,
13:07:07,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-50,5,Deauth Attack
13:07:07,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-65,1,
13:07:08,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-61,1,
13:07:08,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-50,5,Deauth Attack
13:07:08,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-63,1,
13:07:10,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-62,1,
13:07:10,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-49,5,Deauth Attack
13:07:10,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-64,1,
