Time,SSID,BSSID,Vendor,RSSI,Score,Reason
13:04:54,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-60,1,
13:04:54,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-51,1,
13:04:54,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-67,1,
13:04:56,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-40,1,
13:04:56,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-52,1,
13:04:56,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-67,1,
13:04:57,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-40,1,
13:04:57,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-48,1,
13:04:57,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-65,1,
13:04:59,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-40,1,
13:04:59,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-52,5,Deauth Attack
13:04:59,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-66,1,
13:05:00,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-60,1,
13:05:00,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-50,5,Deauth Attack
13:05:00,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-66,1,
13:05:02,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-59,1,
13:05:02,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-48,5,Deauth Attack
13:05:02,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-64,3,RSSI Spike
13:05:03,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-58,1,
13:05:03,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-52,5,Deauth Attack
13:05:03,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-67,3,RSSI Spike
13:05:05,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-60,1,
13:05:05,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-48,5,Deauth Attack
13:05:05,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-65,3,RSSI Spike
13:05:06,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-62,1,
13:05:06,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-50,5,Deauth Attack
13:05:06,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-63,3,RSSI Spike
13:05:08,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-59,1,
13:05:08,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-51,5,Deauth Attack
13:05:08,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-66,3,RSSI Spike
13:05:09,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-59,1,
13:05:09,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-52,5,Deauth Attack
13:05:09,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-64,3,RSSI Spike
13:05:11,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-40,1,
13:05:11,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-49,5,Deauth Attack
13:05:11,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-67,3,RSSI Spike
13:05:12,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-40,1,
13:05:12,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-49,5,Deauth Attack
13:05:12,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-64,3,RSSI Spike
13:05:14,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-40,1,
13:05:14,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-52,5,Deauth Attack
13:05:14,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-66,3,RSSI Spike
13:05:15,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-58,1,
13:05:15,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-52,5,Deauth Attack
