Time,SSID,BSSID,Vendor,RSSI,Score,Reason
18:17:15,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-61,1,
18:17:15,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-51,1,
18:17:15,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-67,1,
18:17:17,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-59,1,
18:17:17,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-50,1,
18:17:17,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-66,1,
18:17:18,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-59,1,
18:17:18,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-52,1,
18:17:18,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-64,1,
18:17:20,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-60,1,
18:17:20,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-50,1,
18:17:20,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-66,1,
18:17:21,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-60,1,
18:17:21,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-48,3,RSSI Spike
18:17:21,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-67,1,
18:17:23,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-60,1,
18:17:23,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-48,3,RSSI Spike
18:17:23,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-63,1,
18:17:24,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-58,1,
18:17:24,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-49,3,RSSI Spike
18:17:24,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-63,1,
18:17:26,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-40,3,RSSI Spike
18:17:26,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-48,3,RSSI Spike
18:17:26,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-63,1,
18:17:27,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-40,3,RSSI Spike
18:17:27,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-50,3,RSSI Spike
18:17:27,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-63,1,
18:17:29,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-40,3,RSSI Spike
18:17:29,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-49,7,Deauth Attack
18:17:29,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-67,1,
18:17:30,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-61,3,RSSI Spike
18:17:30,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-50,7,Deauth Attack
18:17:30,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-65,1,
18:17:32,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-58,3,RSSI Spike
18:17:32,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-50,7,Deauth Attack
18:17:32,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-66,1,
18:17:33,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-58,3,RSSI Spike
18:17:33,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-50,7,Deauth Attack
18:17:33,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-65,1,
18:17:35,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-60,3,RSSI Spike
18:17:35,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-52,7,Deauth Attack
18:17:35,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-63,1,
18:17:36,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-58,3,RSSI Spike
