Time,SSID,BSSID,Vendor,RSSI,Score,Reason
06:36:39,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-58,1,
06:36:39,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-52,1,
06:36:39,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-64,1,
06:36:41,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-40,1,
06:36:41,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-52,1,
06:36:41,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-66,1,
06:36:42,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-40,1,
06:36:42,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-49,1,
06:36:42,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-64,1,
06:36:44,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-40,1,
06:36:44,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-49,5,Deauth Attack
06:36:44,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-66,1,
06:36:45,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-60,1,
06:36:45,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-50,5,Deauth Attack
06:36:45,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-63,1,
06:36:47,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-59,1,
06:36:47,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-48,5,Deauth Attack
06:36:47,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-66,1,
06:36:48,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-61,1,
06:36:48,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-48,5,Deauth Attack
06:36:48,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-64,1,
06:36:50,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-59,1,
06:36:50,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-50,5,Deauth Attack
06:36:50,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-67,1,
06:36:51,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-62,1,
06:36:51,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-50,5,Deauth Attack
06:36:51,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-64,1,
06:36:53,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-60,1,
06:36:53,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-48,5,Deauth Attack
06:36:53,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-63,1,
06:36:54,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-61,1,
06:36:54,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-49,5,Deauth Attack
06:36:54,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-65,1,
06:36:56,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-40,1,
06:36:56,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-52,5,Deauth Attack
06:36:56,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-65,1,
06:36:57,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-40,1,
06:36:57,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-52,5,Deauth Attack
06:36:57,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-66,1,
06:36:59,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-40,1,
06:36:59,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-49,5,Deauth Attack
06:36:59,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-66,1,
06:37:00,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-61,1,
06:37:00,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-50,5,Deauth Attack
06:37:00,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-67,1,
06:37:02,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-62,1,
06:37:02,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-48,5,Deauth Attack
06:37:02,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-67,1,
06:37:03,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-62,1,
06:37:03,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-50,5,Deauth Attack
06:37:03,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-67,1,
06:37:05,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-60,1,
06:37:05,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-49,5,Deauth Attack
06:37:05,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-65,1,
06:37:06,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-62,1,
06:37:06,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-48,5,Deauth Attack
06:37:06,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-64,1,
06:37:08,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-62,1,
06:37:08,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-52,5,Deauth Attack
06:37:08,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-66,1,
06:37:09,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-62,1,
06:37:09,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-48,5,Deauth Attack
06:37:09,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-65,1,
06:37:11,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-40,1,
06:37:11,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-52,5,Deauth Attack
06:37:11,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-63,1,
06:37:12,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-40,1,
06:37:12,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-52,5,Deauth Attack
06:37:12,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-64,1,
06:37:14,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-40,1,
06:37:14,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-52,5,Deauth Attack
06:37:14,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-65,1,
06:37:15,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-59,1,
06:37:15,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-48,5,Deauth Attack
06:37:15,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-67,1,
06:37:17,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-59,1,
06:37:17,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-50,5,Deauth Attack
06:37:17,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-66,1,
06:37:18,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-58,1,
06:37:18,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-49,5,Deauth Attack
06:37:18,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-64,1,
06:37:20,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-62,1,
06:37:20,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-51,5,Deauth Attack
06:37:20,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-63,1,
06:37:21,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-62,1,
06:37:21,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-51,5,Deauth Attack
06:37:21,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-66,1,
06:37:23,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-59,1,
06:37:23,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-52,5,Deauth Attack
06:37:23,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-64,1,
06:37:24,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-62,1,
06:37:24,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-49,5,Deauth Attack
06:37:24,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-64,1,
06:37:26,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-40,1,
06:37:26,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-48,5,Deauth Attack
06:37:26,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-64,1,
06:37:27,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-40,1,
06:37:27,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-48,5,Deauth Attack
06:37:27,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-64,1,
06:37:29,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-40,1,
06:37:29,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-48,5,Deauth Attack
06:37:29,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-63,1,
06:37:30,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-58,1,
06:37:30,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-49,5,Deauth Attack
06:37:30,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-66,1,
06:37:32,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-60,1,
06:37:32,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-51,5,Deauth Attack
06:37:32,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-65,1,
06:37:33,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-59,1,
06:37:33,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-51,5,Deauth Attack
06:37:33,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-65,1,
06:37:35,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-60,1,
06:37:35,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-50,5,Deauth Attack
06:37:35,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-63,1,
06:37:36,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-58,1,
06:37:36,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-50,5,Deauth Attack
06:37:36,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-66,1,
06:37:38,Ma_Box_Orange,E8:ED:F3:11:22:33,Sagemcom (Orange),-60,1,
06:37:38,Hacker_Alfa,00:C0:CA:88:99:AA,Alfa Network,-50,5,Deauth Attack
06:37:38,Ma_B0x_Orange,FF:EE:DD:44:55:66,Unknown,-64,1,
